event_id,customer_id,order_id,event_timestamp,event_type,session_id,device_type,zone_context,api_latency_ms,success_flag
AE00116,C0237,O00033,2024-07-16 05:19:00,eta_refresh,S56150,iOS,Ctr,422,True
AE00117,C0122,O00043,2024-04-11 11:39:00,track_order,S18818,Android,north,387,True
AE00118,C0459,O00059,2024-07-12 20:41:00,track_order,S52877,Android,NORTH,629,True
AE00119,C0153,O00021,2024-01-13 16:25:00,track_order,S89481,Web,north,628,True
AE00120,C0429,O00367,2024-08-09 08:11:00,delivery_instruction_update,S53741,Android,Ctr,1218,True
AE00121,C0451,O00857,2025-09-30 03:14:00,payment_retry,S19782,Android,WEST,862,False
AE00122,C0178,O00979,2025-07-16 15:36:00,eta_refresh,S68778,iOS,EAST,312,True
AE00123,C0250,O00011,2024-11-15 06:53:00,payment_retry,S15600,Android,CENTRAL,1558,True
AE00124,C0348,,2025-03-06 23:34:00,eta_refresh,S29360,Android,EAST,537,True
AE00125,C0430,O01083,2025-06-22 18:22:00,delivery_instruction_update,S35887,Android,SOUTH,510,True
AE00126,C0343,O00847,2024-12-13 22:02:00,eta_refresh,S81938,iOS,Central,433,True
AE00127,C0135,O01205,2025-11-12 01:05:00,track_order,S33676,Web,WEST,299,True
AE00128,C0139,,2025-03-21 11:03:00,chat_opened,S89566,Android,RiverSide,302,True
AE00129,C0234,O01211,2024-08-28 20:20:00,search_route,S11783,Android,South,304,True
AE00130,C0499,O00863,2024-01-12 22:22:00,delivery_instruction_update,S63325,Android,EAST,286,True
AE00131,C0344,O00395,2025-12-09 05:51:00,eta_refresh,S40076,Android,EAST,751,True
AE00132,C0504,O00741,2024-04-30 13:14:00,chat_opened,S11696,Android,WEST,375,True
AE00133,C0119,,2025-10-13 19:59:00,eta_refresh,S63204,Android,WEST,512,True
AE00134,C0074,O00216,2024-12-31 16:38:00,eta_refresh,S31994,Android,Airport,368,True
AE00135,C0447,O00395,2025-05-03 11:11:00,chat_opened,S28174,iOS,EAST,418,True
AE00136,C0324,,2025-09-05 10:01:00,payment_retry,S41186,Android,East,491,True
AE00137,C0318,O00669,2024-07-19 21:36:00,search_route,S42305,Android,North,289,True
AE00138,C0495,O00863,2024-07-04 03:28:00,delivery_instruction_update,S41862,iOS,SOUTH,641,True
AE00139,C0589,O01195,2024-04-06 09:08:00,track_order,S18650,iOS,SOUTH,263,True
AE00140,C0026,O00312,2024-07-30 22:16:00,track_order,S35078,iOS,WEST,639,True
AE00141,C0644,O00956,2024-07-21 16:03:00,track_order,S51247,Android,Ctr,901,True
AE00142,C0005,O00103,2024-04-18 04:39:00,track_order,S33250,Android,WEST,187,True
AE00143,C0025,O00124,2024-07-18 18:59:00,cancel_attempt,S88076,Android,AIRPORT,1039,True
AE00144,C0347,O00708,2024-10-08 10:04:00,eta_refresh,S80449,Android,north,648,True
AE00145,C0062,O01049,2024-08-31 23:03:00,delivery_instruction_update,S88111,iOS,CENTRAL,159,True
AE00146,C0228,O00311,2025-08-02 23:18:00,track_order,S69169,Android,NORTH,275,True
AE00147,C0128,O00020,2024-09-28 14:16:00,track_order,S54633,iOS,CENTRAL,836,True
AE00148,C0634,,2025-07-16 13:16:00,track_order,S69151,Android,AIRPORT,263,True
AE00149,C0236,O00733,2024-03-04 12:19:00,delivery_instruction_update,S97668,Android,East,191,True
AE00150,C0207,O00017,2025-12-02 08:49:00,cancel_attempt,S30266,Android,SOUTH,118,True
AE00151,C0472,O00129,2024-11-24 20:48:00,search_route,S28386,Android,AIRPORT,1035,True
AE00152,C0134,O00890,2025-10-28 12:42:00,payment_retry,S79279,iOS,East,609,True
AE00153,C0540,,2024-10-28 03:03:00,search_route,S92690,Android,Ctr,360,True
AE00154,C0096,O00813,2025-04-03 00:09:00,track_order,S26942,iOS,Riverside,187,True
AE00155,C0256,O01136,2025-06-19 05:14:00,search_route,S78880,iOS,EAST,780,True
AE00156,C0004,O00998,2025-05-12 19:56:00,chat_opened,S19094,Android,NORTH,618,True
AE00157,C0568,O01041,2025-07-05 07:53:00,chat_opened,S94050,Android,East,669,True
AE00158,C0444,O00239,2024-05-01 10:17:00,track_order,S64444,Android,SOUTH,558,True
AE00159,C0057,O01073,2025-10-10 01:20:00,search_route,S80676,Android,South,100,True
AE00160,C0351,,2025-09-12 22:47:00,chat_opened,S51613,Android,CENTRAL,264,True
AE00161,C0308,O00031,2024-06-16 16:40:00,search_route,S73430,iOS,EAST,635,True
AE00162,C0277,,2024-10-19 12:25:00,cancel_attempt,S90878,iOS,RiverSide,477,True
AE00163,C0159,O00703,2025-05-30 03:46:00,search_route,S29863,Android,SOUTH,586,True
AE00164,C0028,O00547,2025-10-13 18:52:00,eta_refresh,S21845,Android,WEST,330,True
AE00165,C0211,O01203,2024-11-20 00:04:00,track_order,S42312,iOS,WEST,141,True
AE00166,C0152,,2024-08-21 15:08:00,chat_escalated,S45482,iOS,SOUTH,60,True
AE00167,C0327,,2024-05-24 08:39:00,track_order,S97782,Android,Central,450,True
AE00168,C0428,O00991,2024-11-13 12:22:00,track_order,S94225,Android,Central,160,True
AE00169,C0236,O01007,2025-09-20 00:31:00,payment_retry,S31565,Android,AIRPORT,252,True
AE00170,C0602,,2025-05-24 11:07:00,track_order,S40147,iOS,WEST,642,True
AE00171,C0219,,2024-12-05 01:18:00,chat_opened,S45451,iOS,AIRPORT,659,True
AE00172,C0636,,2024-10-27 02:36:00,eta_refresh,S15954,iOS,WEST,564,True
AE00173,C0604,O00323,2024-05-12 11:14:00,eta_refresh,S59591,Web,West,772,True
AE00174,C0516,,2024-10-17 18:43:00,track_order,S79217,iOS,West,418,True
AE00175,C0027,O00040,2025-03-22 09:30:00,chat_opened,S27542,iOS,North,828,True
AE00176,C0443,O00475,2025-04-19 23:45:00,track_order,S99435,iOS,East,530,True
AE00177,C0431,,2025-10-20 04:30:00,chat_opened,S90018,Android,Airport,338,True
AE00178,C0022,,2024-05-23 05:09:00,delivery_instruction_update,S15462,Android,East,186,True
AE00179,C0634,O00605,2024-04-20 23:19:00,delivery_instruction_update,S52206,Android,NORTH,231,True
AE00180,C0003,O00599,2024-04-05 22:39:00,cancel_attempt,S48720,Android,AIRPORT,282,True
AE00181,C0602,,2024-08-15 12:23:00,chat_opened,S38965,iOS,East,413,True
AE00182,C0438,O01213,2025-04-26 09:51:00,eta_refresh,S29723,Android,WEST,328,True
AE00183,C0227,,2024-04-07 12:16:00,payment_retry,S65322,iOS,RiverSide,76,True
AE00184,C0383,O00290,2025-06-28 12:11:00,eta_refresh,S10919,Android,AIRPORT,673,True
AE00185,C0540,O00636,2024-01-01 04:02:00,payment_retry,S50299,Web,EAST,550,True
AE00186,C0297,O00033,2024-01-09 21:50:00,delivery_instruction_update,S98196,Web,AIRPORT,811,True
AE00187,C0500,,2024-04-03 04:53:00,track_order,S84399,iOS,RiverSide,516,True
AE00188,C0576,,2025-03-10 15:20:00,chat_opened,S72332,iOS,SOUTH,376,True
AE00189,C0491,O00686,2024-08-03 12:43:00,chat_opened,S98299,iOS,CENTRAL,320,True
AE00190,C0006,O00220,2024-12-25 13:57:00,track_order,S89254,Web,West,407,True
AE00191,C0559,O00582,2024-03-06 18:13:00,search_route,S57395,Android,Ctr,304,True
AE00192,C0415,O00091,2025-04-04 13:39:00,eta_refresh,S25456,Web,Riverside,238,True
AE00193,C0558,O00320,2024-08-10 19:31:00,payment_retry,S70607,iOS,AIRPORT,1701,True
AE00194,C0502,,2025-04-13 13:31:00,track_order,S92171,Web,Riverside,291,True
AE00195,C0182,O00489,2024-02-12 12:39:00,track_order,S88300,iOS,RiverSide,553,True
AE00196,C0308,O01227,2024-07-18 11:53:00,payment_retry,S74695,iOS,Airport,280,False
AE00197,C0287,,2024-01-05 09:57:00,track_order,S12792,iOS,South,222,True
AE00198,C0229,,2025-11-10 12:31:00,payment_retry,S61126,iOS,RiverSide,321,True
AE00199,C0458,O00502,2025-03-05 09:23:00,track_order,S54839,Android,East,794,True
AE00200,C0422,O00420,2025-11-13 01:11:00,eta_refresh,S20454,Android,RiverSide,574,True
AE00201,C0139,O00783,2024-08-12 08:07:00,eta_refresh,S79498,Android,WEST,60,True
AE00202,C0190,O00008,2024-12-31 22:36:00,track_order,S46827,Android,Riverside,747,True
AE00203,C0050,O01110,2024-11-28 23:16:00,eta_refresh,S88874,iOS,north,792,True
AE00204,C0370,O00390,2025-10-21 12:12:00,search_route,S14150,iOS,Airport,414,True
AE00205,C0565,O01188,2025-12-02 17:43:00,search_route,S65549,iOS,West,521,True
AE00206,C0540,O00860,2025-08-10 13:22:00,track_order,S41049,iOS,CENTRAL,423,True
AE00207,C0611,O00360,2025-09-30 05:26:00,track_order,S85216,iOS,North,443,True
AE00208,C0492,O00439,2024-07-18 08:06:00,delivery_instruction_update,S14892,iOS,East,729,True
AE00209,C0311,O00549,2025-06-25 21:11:00,search_route,S69288,iOS,EAST,479,True
AE00210,C0066,O00764,2025-10-17 10:22:00,track_order,S97799,Android,north,610,True
AE00211,C0154,O00597,2025-03-10 18:31:00,chat_opened,S23758,iOS,North,273,True
AE00212,C0050,O00656,2024-12-09 02:17:00,chat_escalated,S30429,Web,Airport,474,False
AE00213,C0165,O00825,2025-12-31 01:59:00,cancel_attempt,S21498,Android,WEST,337,True
AE00214,C0036,O00929,2024-11-19 16:32:00,chat_escalated,S95975,iOS,CENTRAL,60,True
AE00215,C0408,,2024-11-04 12:36:00,eta_refresh,S99032,Web,RiverSide,753,True
AE00216,C0353,O00689,2025-02-15 06:05:00,track_order,S56502,Android,West,193,True
AE00217,C0489,O00452,2024-04-22 18:38:00,track_order,S41923,iOS,East,523,True
AE00218,C0638,O00997,2024-07-11 07:41:00,search_route,S93085,Android,Airport,137,True
AE00219,C0495,O00473,2024-11-06 10:57:00,cancel_attempt,S46630,iOS,CENTRAL,371,True
AE00220,C0469,O00413,2025-10-02 15:05:00,search_route,S61687,iOS,Airport,1046,True
AE00221,C0309,O01074,2025-08-16 01:12:00,delivery_instruction_update,S93181,Android,WEST,584,True
AE00222,C0511,O00539,2024-09-13 09:38:00,search_route,S16455,Android,West,606,True
AE00223,C0506,,2025-01-05 02:35:00,eta_refresh,S19581,Android,Riverside,717,True
AE00224,C0611,,2025-12-03 15:48:00,chat_escalated,S69785,Android,NORTH,433,True
AE00225,C0105,O00659,2025-07-03 18:05:00,search_route,S69038,Android,South,401,True
AE00226,C0259,O00918,2025-07-10 21:37:00,track_order,S12105,Android,Central,581,True
AE00227,C0194,O00918,2024-06-11 02:54:00,delivery_instruction_update,S26318,iOS,Riverside,241,True
AE00228,C0220,O01213,2024-03-18 10:58:00,track_order,S31464,Android,north,261,True
AE00229,C0392,O00450,2024-01-29 03:08:00,track_order,S32859,iOS,RiverSide,484,True
AE00230,C0467,O00698,2025-06-02 00:55:00,payment_retry,S79237,Web,WEST,368,True
AE00231,C0375,O00188,2024-02-28 00:09:00,chat_opened,S62538,iOS,Riverside,394,True
AE00232,C0475,O00336,2025-06-10 10:39:00,chat_opened,S19410,iOS,North,614,True
AE00233,C0144,O00990,2025-09-06 23:35:00,search_route,S25207,Web,SOUTH,440,True
AE00234,C0447,O00068,2025-05-16 04:24:00,search_route,S16617,iOS,CENTRAL,718,True
AE00235,C0102,O00065,2024-07-28 16:08:00,track_order,S32192,Android,EAST,531,True
AE00236,C0215,O00722,2024-08-23 22:05:00,payment_retry,S66874,iOS,Airport,478,True
AE00237,C0375,O00581,2024-05-26 13:58:00,eta_refresh,S75980,Android,EAST,339,True
AE00238,C0611,O00098,2024-10-30 02:43:00,delivery_instruction_update,S27480,Web,Airport,321,True
AE00239,C0291,O00746,2025-03-15 03:20:00,chat_escalated,S83143,iOS,RiverSide,215,True
AE00240,C0109,O00771,2025-12-08 03:46:00,chat_opened,S68728,Android,Ctr,895,True
AE00241,C0024,O00814,2024-06-28 06:51:00,chat_opened,S22478,iOS,RiverSide,624,True
AE00242,C0070,O00627,2024-04-18 10:54:00,delivery_instruction_update,S59972,iOS,CENTRAL,792,True
AE00243,C0217,O00878,2024-07-05 13:59:00,chat_opened,S89574,Android,north,646,True
AE00244,C0355,O01236,2024-02-17 00:42:00,chat_escalated,S49312,Android,East,487,False
AE00245,C0159,O00570,2025-06-25 22:42:00,search_route,S22380,Web,SOUTH,757,True
AE00246,C0173,O00188,2025-09-26 08:26:00,search_route,S73690,iOS,EAST,490,True
AE00247,C0056,,2025-05-04 18:58:00,delivery_instruction_update,S49126,Android,East,734,True
AE00248,C0558,O01118,2024-02-14 07:02:00,payment_retry,S95292,iOS,RiverSide,488,True
AE00249,C0120,,2025-10-20 11:10:00,payment_retry,S60781,Android,South,591,False
AE00250,C0409,,2024-03-20 14:32:00,delivery_instruction_update,S80264,Web,Riverside,553,True
AE00251,C0623,O00162,2024-02-16 23:07:00,payment_retry,S96369,Android,CENTRAL,375,True
AE00252,C0202,O00936,2024-04-24 05:08:00,track_order,S97343,iOS,AIRPORT,278,True
AE00253,C0485,O01098,2025-12-13 20:05:00,chat_escalated,S76383,Android,WEST,799,True
AE00254,C0419,O00265,2024-03-19 05:42:00,track_order,S69799,iOS,East,543,True
AE00255,C0563,O00972,2024-04-11 10:46:00,payment_retry,S15134,Android,Central,376,True
AE00256,C0447,O00220,2025-10-08 16:41:00,delivery_instruction_update,S35671,Android,South,466,True
AE00257,C0643,,2025-07-16 12:39:00,eta_refresh,S34258,iOS,Ctr,545,True
AE00258,C0489,O00812,2025-09-24 21:15:00,payment_retry,S53794,Web,RiverSide,60,False
AE00259,C0055,O01208,2025-06-21 16:57:00,delivery_instruction_update,S66374,iOS,West,247,True
AE00260,C0109,O00932,2024-10-25 12:28:00,cancel_attempt,S74608,Web,Airport,350,True
AE00261,C0433,O00167,2025-02-10 10:12:00,search_route,S51615,Android,Riverside,236,True
AE00262,C0079,O00532,2024-12-21 16:48:00,search_route,S78668,Web,East,392,True
AE00263,C0330,O01163,2024-02-14 18:08:00,track_order,S98156,Web,RiverSide,60,True
AE00264,C0134,,2024-02-25 19:03:00,track_order,S46151,iOS,WEST,60,True
AE00265,C0192,O01137,2024-11-06 03:00:00,chat_opened,S53981,Android,Central,1240,True
AE00266,C0378,O00856,2024-12-12 10:44:00,search_route,S22322,Android,Airport,536,True
AE00267,C0473,,2024-09-19 05:09:00,eta_refresh,S55731,iOS,Riverside,542,True
AE00268,C0377,O01202,2024-05-04 16:58:00,eta_refresh,S22564,iOS,WEST,429,True
AE00269,C0325,O00863,2025-08-15 22:29:00,delivery_instruction_update,S64498,Android,Riverside,304,True
AE00270,C0578,O00326,2025-09-09 01:15:00,chat_opened,S29661,Android,AIRPORT,503,True
AE00271,C0322,O01193,2025-10-19 21:23:00,search_route,S43982,Web,NORTH,627,True
AE00272,C0338,O01203,2025-03-02 04:57:00,eta_refresh,S33897,iOS,East,190,True
AE00273,C0433,O01067,2024-05-28 05:11:00,track_order,S48118,Web,Riverside,134,True
AE00274,C0049,O01167,2025-09-27 15:25:00,track_order,S94086,Android,Riverside,495,True
AE00275,C0485,O00676,2024-06-12 17:54:00,delivery_instruction_update,S57005,Android,North,279,True
AE00276,C0111,O01221,2025-01-21 11:43:00,search_route,S73488,Android,South,300,True
AE00277,C0580,O00409,2024-12-26 15:48:00,payment_retry,S59602,Android,WEST,552,False
AE00278,C0337,O01073,2024-11-12 03:16:00,chat_opened,S88214,Android,Ctr,421,True
AE00279,C0112,O01215,2025-02-20 21:24:00,track_order,S90848,Android,NORTH,582,True
AE00280,C0456,O00907,2025-12-31 18:05:00,track_order,S12463,iOS,NORTH,251,True
AE00281,C0310,O00397,2024-03-06 12:05:00,search_route,S39460,Android,South,457,True
AE00282,C0234,,2024-08-08 19:03:00,chat_opened,S29738,iOS,West,1007,True
AE00283,C0589,O00589,2024-09-19 14:25:00,payment_retry,S32645,Android,SOUTH,362,True
AE00284,C0604,O00371,2025-10-26 11:28:00,search_route,S76025,Android,East,60,True
AE00285,C0440,O00539,2025-12-25 16:11:00,search_route,S17327,iOS,Airport,414,True
AE00286,C0358,,2024-02-18 07:54:00,search_route,S60811,iOS,CENTRAL,364,True
AE00287,C0573,O00074,2024-05-02 05:45:00,search_route,S30431,Android,East,571,True
AE00288,C0273,O00480,2025-07-21 17:12:00,cancel_attempt,S63671,Android,north,60,True
AE00289,C0207,O00654,2024-03-02 10:12:00,payment_retry,S19707,Android,RiverSide,343,True
AE00290,C0399,O00951,2025-08-01 22:46:00,delivery_instruction_update,S84446,Android,East,457,True
AE00291,C0312,O00330,2024-12-17 21:44:00,track_order,S95883,Android,WEST,405,True
AE00292,C0520,O00929,2025-10-16 23:21:00,eta_refresh,S72274,iOS,north,60,True
AE00293,C0073,O00609,2024-07-10 13:17:00,chat_escalated,S78813,Android,WEST,1074,True
AE00294,C0492,O00876,2025-11-27 02:21:00,track_order,S33068,Android,WEST,405,True
AE00295,C0449,O01002,2025-03-30 00:14:00,payment_retry,S13138,Android,WEST,246,True
AE00296,C0471,O00635,2025-06-30 16:35:00,eta_refresh,S10325,Android,RiverSide,187,True
